method,data,loss,accuracy, bi_precision, bi_recall, bi_f1, micro_precision, micro_recall, micro_f1, macro_precision, macro_recall, macro_f1, weighted_precision, weighted_recall, weighted_f1
# select best micro_f1 & w/o postfix
roberta-prompt-tune,gossipcop,0.7656847834587097,0.7879918049283132,0.6055796950282348,0.41841648769148365,0.4783481269010711,0.7879918049283132,0.7879918049283132,0.7879918049283132,0.7191251858462359,0.6617200415441369,0.6721209766339438,0.7785807952202102,0.7879918049283132,0.7727449789251477
roberta-prompt-tune,gossipcop,0.7263231873512268,0.7771536213683677,0.5536674906470671,0.42791397145415583,0.4807986789645259,0.7771536213683677,0.7771536213683677,0.7771536213683676,0.6921393576103084,0.6577370913111216,0.6693906674498413,0.7640649184840933,0.7771536213683677,0.767367962472732
roberta-prompt-tune,gossipcop,0.6311414241790771,0.7844771334959468,0.5774325953642448,0.3713627454963405,0.44688392492166934,0.7844771334959468,0.7844771334959468,0.7844771334959467,0.7004058058675949,0.6424493848577235,0.6563207840705099,0.7646536886507456,0.7844771334959468,0.7659733835138269
roberta-prompt-tune,gossipcop,0.831845223903656,0.7864032973490795,0.5709845000039356,0.49058583162198255,0.5236026705696947,0.7864032973490795,0.7864032973490795,0.7864032973490795,0.7083673285864045,0.6853602513420858,0.6928401438897016,0.7802688282409831,0.7864032973490795,0.78091751707416
roberta-prompt-tune,gossipcop,0.7617141604423523,0.7902057945113949,0.5924896561024933,0.4209894479939421,0.48929948530601874,0.7902057945113949,0.7902057945113949,0.7902057945113949,0.7124072633213105,0.6640415958952967,0.6785930786237371,0.774849999951272,0.7902057945113949,0.7769155865319111
roberta-fine-tune,gossipcop,0.8295375108718872,0.7686390062871816,0.5599674672414545,0.46113433198142795,0.4803270595776204,0.7686390062871816,0.7686390062871816,0.7686390062871816,0.698831590206862,0.6637591755231712,0.6648788728174798,0.772038724922243,0.7686390062871816,0.7607868425102957
roberta-fine-tune,gossipcop,0.8281835913658142,0.7829982370130655,0.5821764844605636,0.48532843030987005,0.516695098395995,0.7829982370130655,0.7829982370130655,0.7829982370130655,0.7133316486765694,0.6811209977901678,0.6879501652695527,0.7816456852414551,0.7829982370130655,0.7770784327120521
roberta-fine-tune,gossipcop,0.8387531638145447,0.7770431569541382,0.5509055569940718,0.4982825090690478,0.514053453261211,0.7770431569541382,0.7770431569541382,0.7770431569541383,0.6990138743645131,0.6813040459413383,0.6840963945075578,0.7764977586569516,0.7770431569541382,0.7730557211310993
roberta-fine-tune,gossipcop,0.8609749674797058,0.7787427568607562,0.5377508150926108,0.5573186427450395,0.5470299493085894,0.7787427568607562,0.7787427568607562,0.7787427568607562,0.6982740376892335,0.702807071709964,0.7002449778045581,0.7818809062492391,0.7787427568607562,0.78012421465126
roberta-fine-tune,gossipcop,0.8898108601570129,0.7684701298492203,0.5331505722318561,0.5404477337388692,0.5284170312750727,0.7684701298492203,0.7684701298492203,0.7684701298492203,0.6933132759506414,0.6906070172375675,0.6869953760760461,0.776774273643057,0.7684701298492203,0.7694459267712659
# full set & select best micro_f1 & w/o postfix
roberta-prompt-tune,gossipcop,0.4310002326965332,0.8636938198855265,0.77267885261116,0.6129193561448142,0.6827528854730166,0.8636938198855265,0.8636938198855265,0.8636938198855265,0.8290836611548809,0.7778723335067081,0.7979647989396668,0.8586947594581817,0.8636938198855265,0.8580178548083749
roberta-fine-tune,gossipcop,0.41537854075431824,0.864998478518125,0.7739327033513377,0.6160708581494196,0.6858368475088461,0.864998478518125,0.864998478518125,0.864998478518125,0.83023065591237,0.7796253192899254,0.7999008270303968,0.8595935890195854,0.864998478518125,0.8594348153788772
# select best loss & w/o postfix
roberta-fine-tune,gossipcop,0.8482871055603027,0.4772040798254723,0.34103871689620335,0.7693340881834414,0.4306787212441928,0.4772040798254723,0.4772040798254723,0.4772040798254723,0.42286444616518165,0.5771765192153145,0.4238886426461959,0.4637541158173545,0.4772040798254723,0.42003260265026093
roberta-fine-tune,gossipcop,0.8115351796150208,0.7325586656040444,0.5111195782400755,0.5402659495003419,0.5003106696114684,0.7325586656040444,0.7325586656040444,0.7325586656040443,0.6783037144513212,0.6668526927191218,0.6556329731710392,0.7654452920237056,0.7325586656040444,0.7364343180111919
roberta-fine-tune,gossipcop,0.8450027704238892,0.7120754300802602,0.4733493929797398,0.588878874367684,0.5032747694194968,0.7120754300802602,0.7120754300802602,0.7120754300802602,0.6642991191146544,0.669796900501699,0.6449431346979841,0.7641548432875435,0.7120754300802602,0.7190293053181046
roberta-fine-tune,gossipcop,0.9074012637138367,0.7568387148710766,0.5030237762305252,0.5805639835493505,0.5355464410903694,0.7568387148710766,0.7568387148710766,0.7568387148710766,0.6816076477257483,0.696143673370101,0.6849746354997591,0.77441937851773,0.7568387148710766,0.7629279809872018
roberta-fine-tune,gossipcop,0.8737884759902954,0.5975026927814138,0.38299590942791617,0.6138178749995613,0.40534273688827893,0.5975026927814138,0.5975026927814138,0.5975026927814138,0.5265375167839157,0.6028752249759008,0.5100803643770304,0.6011865746368089,0.5975026927814138,0.5646305525854667
roberta-prompt-tune,gossipcop,0.7791328430175781,0.721042078231539,0.517521742729057,0.5164877934626114,0.4748296191518331,0.721042078231539,0.721042078231539,0.7210420782315389,0.6789192747333477,0.6489960617430611,0.6331698431672705,0.7619415315608149,0.721042078231539,0.7167415495797542
roberta-prompt-tune,gossipcop,0.8047320246696472,0.6348201994831791,0.44934043826182296,0.5655099688036082,0.4340665575150261,0.6348201994831791,0.6348201994831791,0.6348201994831791,0.555928337079606,0.6119888637470372,0.5458689325955065,0.6107242330828344,0.6348201994831791,0.6032169949773213
roberta-prompt-tune,gossipcop,0.7400814294815063,0.736353112597709,0.4584418803187112,0.39916581673352924,0.373824178056015,0.736353112597709,0.736353112597709,0.7363531125977089,0.6405776066651032,0.6198259938788409,0.6006390204084013,0.7356563580113882,0.736353112597709,0.7199659933372302
roberta-prompt-tune,gossipcop,0.929417610168457,0.7113203725618051,0.45686302954648683,0.6101452523748074,0.5084145282413565,0.7113203725618051,0.7113203725618051,0.7113203725618051,0.6587139781411635,0.6769540888665799,0.6483721732374043,0.7640359711670557,0.7113203725618051,0.7211835036333564
roberta-prompt-tune,gossipcop,0.7411717772483826,0.5244500044275927,0.3059903235405502,0.6305053201795625,0.36111210185829135,0.5244500044275927,0.5244500044275927,0.5244500044275927,0.48141149822997625,0.5603491921447257,0.4458492454481563,0.5735042077449444,0.5244500044275927,0.49045118226064693
# 50-shot & select best micro_f1 & w/o postfix
